model,accuracy,precision,recall,f1,auc,pr_auc,threshold
ann,0.942900855540546,0.05869458238267794,0.5067593665507918,0.10520407345040494,0.9287823276931353,0.04809156495890352,0.8390839695930481
lgbm,0.9876120594375537,0.2184453886528368,0.3375820780224025,0.2652503793626707,0.9589445567181838,0.15405014034662015,0.9655450219139742
gnn,0.5344007122682058,0.01101728640038378,0.7806102742371572,0.02172791192723676,0.6469692499276108,0.008979567622861347,0.4713864326477051
ensemble,0.9837718490318883,0.19087615283267456,0.447663190421012,0.26763653157833966,0.9550891926509681,0.15362010598586612,0.06830530969447221
